Organisation Name,Project Title,Project Description,Region,Amount
"Calvary Lutheran Church, Morphett Vale Inc",Community Men's Shed upgrade and expansion,"Extend the Men?s Shed at 5 Windsong Court, Morphett Vale to support  50 disadvantaged  men from Onkaparinga region to participate in woodwork and metalwork activities.",Southern Adelaide,"$23,173 "
Cambodian Cultural Association Incorporated,Cambodian New Year Festival,Contribute to cultural costumes and audio equipment to support the Cambodian New Year Festival and the Association's youth groups and promote community unity and cross-cultural awareness.,Northern Adelaide,"$5,000 "
Camp Quality Limited,Camp Quality SA - Volunteer Training & Recognition Program,"Build the skills and knowledge of 165 volunteers from across South Australia, so they are better able to assist children dealing with cancer.",Statewide,"$4,800 "
Camp Quality Limited,Regional Program to build resilience and optimism in disadvantaged children living with cancer and their families,A contribution towards a Family Camp targeting disadvantaged people in the Eyre and Western Region.,Eyre and Western,"$8,000 "
Can:Do 4Kids,Helping kids with a disability through Assistive Technology,Contribute towards specialised audio visual technology to support the development of 260 disabled young people and their families from across South Australia.,"Whole of metropolitan area, Adelaide Hills, Barossa, Eastern Adelaide, Fleurieu and Kangaroo Island, Murray and Mallee, Northern Adelaide, Southern Adelaide, Western Adelaide","$31,500 "
Can:Do 4Kids,Can:Do 4Kids Resource Library,"Purchase equipment to establish a resource library for children with a disability from across Adelaide, to increase opportunities for families to expand home-based activities and enable therapists to support families at home.","Whole of metropolitan area, Adelaide Hills","$4,985 "
Carers SA,Develop and pilot proof of concept model for young carers,Employ a project coordinator to assist and improve carers resilience and well-being.,"Eyre and Western, Limestone Coast, Western Adelaide","$48,340 "
Catalyst Foundation,Opening Digital Windows for Seniors,"Purchasing 5 Laptop Computers to assist with the identified need for digital literacy training fort the elderly, disabled and other disadvantaged community members.",Whole of metropolitan area,"$4,990 "
Catalyst Foundation,Know You Rights ? Changes To Legislation Affecting SA?s LGBTI Community,"Purchase equipment to support online training and information, and a Symposium in July 2017 to provide information including discussing individual matters, for 100 people from the LGBTI communities across South Australia.",Statewide,"$4,848 "
Catalyst Foundation,Digital Literacy for Seniors,"Purchase 12 tablets to support a digital literacy program for seniors, people with a disability, cultural and linguistically diverse, Aboriginal and Torres Strait Islanders and carers from the Adelaide metropolitan area to increase their skills and knowledge and enhance their wellbeing and resilience.",Whole of metropolitan area,"$4,878 "
Ceduna Aboriginal Corporation,Tjutjuna Arts Mobility,Purchase a suitable vehicle to access the isolated communities of the Far West Coast and Ceduna. This will allow the ability to access 140 regional and isolated artists by bringing their artifacts and paintings to suitable markets.,"Eyre and Western, Statewide","$43,380 "
Centacare Catholic Family Services,Youth Mental Health Resource Translation Project,"A grant to assist in the development of adolescent-focused multilingual mental health resources for Vietnamese, Chinese, Tagalog, Filipino, Arabic and Punjabi speaking people.",Western Adelaide,"$18,380 "
Centacare Catholic Family Services,National Families Week - Family Togetherness,"Conduct the 'National Families Week - Family Togetherness' event on 19 May 2017 to support 700 young adults, children and families from culturally and linguistically diverse communities in Port Augusta, to increase information distribution and social connection.",Far North,"$9,725 "
Centacare Catholic Family Services,Murals for Living with Happiness,Contribute towards revitalizing Louise Place with refreshing creative murals painted by a professional artist to improve living surroundings to improve the well being and experience at the service.,Eastern Adelaide,"$5,000 "
Centacare Catholic Family Services,Encircle - Young Mothers Program,"Deliver an interactive practical parenting program for 18 vulnerable young mothers aged 12 to 25 years from Adelaide, Marion, Port Adelaide Enfield, Unley and West Torrens regions, who are experiencing homelessness and have limited education, to develop secure and positive relationships with their children.",Eastern Adelaide,"$4,283 "
Chinatown Adelaide of SA Inc.,2016 Chinatown Double Seventh (Qixi) Festival,"Contribute to the 2016 Chinatown Double Seventh (Qixi) Festival on the 13 August 2016, a celebration aimed at integrating the Chinese International Students into the Community.",Whole of metropolitan area,"$5,000 "
Chinese Music & Arts Inc.,Engagement of culturally and linguistically diverse youth through forming Chinese Orchestra - Purchase of 20 music instruments,Purchase traditional musical instruments for the SA Chinese Orchestra to participate in community events such to assist the Chinese community to participate and showcase their culture to the public.,"Eastern Adelaide, Northern Adelaide, Southern Adelaide, Western Adelaide, Whole of metropolitan area","$4,507 "
Chinese Music & Arts Inc.,"Engagement of CALD youth through Chinese Orchestra - Purchase of costumes, stools, cupboard for performance and rehearsals","Support 40 young people from across Adelaide to perform in the Chinese Orchestra, by purchasing costumes and small equipment to support rehearsals and cultural activities.","Whole of metropolitan area, Eastern Adelaide, Northern Adelaide, Southern Adelaide, Western Adelaide","$3,007 "
Chinese Music & Arts Inc.,Setup & pilot Young Oriental Harmonies,"Contribute towards the set-up and pilot of Young Oriental Harmonies, an opportunity to engage CALD children and their families through multicultural songs and singing.",Whole of metropolitan area,"$4,388 "
Christian Outreach Centre sponsoring Lifeforce Church,Bubble Ball Soccer,Purchasing equipment to allow 200 disadvantaged people across Northern Adelaide to participate in Bubble Ball Soccer.,Northern Adelaide,"$4,200 "
Churches Of Christ In SA & NT Community Care Inc (Trading as CareWorks),CareWorks Excellence in Copying,Purchase office equipment to enhance emergency and counseling services to 600 disadvantaged and socially excluded people from across South Australia.,Statewide,"$6,166 "
Churches Of Christ In SA & NT Community Care Inc (Trading as CareWorks),CareWorks Cottage - Clean and Work-Safe,Purchase cleaning equipment to assist volunteers servicing the facilities at CareWorks Cottage.,Western Adelaide,$817 
Churches Of Christ In SA & NT Community Care Inc (Trading as CareWorks),Lunchtime Training,"Fund IT resources to support on-line training to 150 volunteers who assist disadvantaged people from across Adelaide, including counseling, accommodation and social support.","Whole of metropolitan area, Adelaide Hills, Eyre and Western, Fleurieu and Kangaroo Island, Murray and Mallee, Yorke and Mid North","$1,068 "
Cirkidz Incorporated,Deafkidz @ Cirkidz,"Fund a three day intensive Circus Workshop, for 20 young people who are deaf or hard of hearing to learn new skills, enhance their wellbeing and resilience, and participate fully in the community.",Whole of metropolitan area,"$5,000 "
City Of Mount Gambier,Sunset Community Kitchen - Air Conditioning and Associated Power Supply Upgrade,"Contribute towards the purchase and upgrade of air conditioning systems at the John Park Frew Centre at 48 Penola Road, Mt Gambier.",Limestone Coast,"$14,121 "
City of West Torrens Council,West Torrens Volunteer Training Program.,"Support 210 volunteers in the West Torrens region by providing training through St Johns Ambulance to support the health, safety and well-being of  people in need.",Western Adelaide,"$27,040 "
Clayton Bay Community Association,Provide reverse cycle air conditioning in the Clayton Bay community hall,"Contribute funds to a $11,000 project to install air conditioning in the Clayton Bay community hall to reduce social isolation and increase community interaction and participation for 600 people from the Alexandrina region.",Fleurieu and Kangaroo Island,"$7,316 "
Clubhouse SA Inc,"""R.E.V. UP ""  Purchasing a Hyundai iMax","Purchase a vehicle to support  15 volunteers and 250 people with mental illness, who are socially isolated and financially disadvantaged, to participate in activities to improve personal development, community connectedness and strengthen support networks.",Whole of metropolitan area,"$34,000 "
Co.As.It. (SA),CALD Pilot Program: Building Wellbeing and Resilience across the COASIT Ageing Italian Community,"Contribute funds to a $26,700 project to employ a program coordinator to conduct the 'CALD Pilot Program: Building Wellbeing and Resilience across the COASIT Ageing Italian Community', assisting 20 volunteers from across metropolitan Adelaide to address mental health in the CALD Italian community, through programs aimed at educating participants on increased wellbeing, optimism and resilience.",Whole of metropolitan area,"$17,418 "
Community Centres SA Inc,Volunteer Participation in Community Centres SA Conference 2016,"Contribute towards 18 volunteers to participate in the Strengthening Local Communities Conference on 27 and 28 October 2016, themed Belonging, with an aim to inspire communities to foster belonging in our society.","Whole of metropolitan area, Whole of rural area","$4,440 "
Community Food SA t/a The Food Centre,Computer Network System,Purchase network cabling and server to improve administrative services and strengthen the organisations capacity to support their volunteers and disadvantaged people experiencing financial hardship.,"Eastern Adelaide, Northern Adelaide, Western Adelaide","$4,763 "
Community Health Onkaparinga Inc,1000 Butterfly Walk towards Nonviolence,Support 200 people from the Onkaparinga region participate in a community walk through the ?1000 Butterflies for Nonviolence Initiative? to create opportunities that raise awareness of the personal and community impacts of Gendered Violence.,Southern Adelaide,"$3,250 "
Community House Port Lincoln Incorporated,"Volunteer training, skill development, mental health first aid, cultural awareness and wellbeing","Fund cultural awareness, wellbeing and skill development training for 28 volunteers from Port Lincoln to increase the quality of services provided to disadvantaged members of the community.",Eyre and Western,"$13,761 "
Connecting Foster Carers - SA Inc,Peer Support Network,Employ a part time volunteer coordinator to develop a network of skilled volunteers to deliver peer support for 60 foster and kinship carers across South Australia.,Statewide,"$11,229 "
Coonalpyn Community Hub Inc,The Changing Canvas,"Fund two, one day art classes for 30 people who are economically and socially disadvantaged from the Murray and Mallee region to engage with other members of the community, to develop skills, knowledge, friendships and wellbeing practices.",Murray and Mallee,"$4,745 "
Coonalpyn Community Hub Inc,Cheese Please,"Deliver 'Cheese Please' workshops to 20 disadvantage adults from Coonalpyn to improve their skills and knowledge and enhance their well being and resilience,",Murray and Mallee,"$3,530 "
Coorong District Council,Electrical wiring and fixing/cementing welding bay,Contribute towards upgrading the facilities at the Tintinara Community Men's Shed.,Murray and Mallee,"$22,670 "
"Coptic Orthodox Church South Australia, Australia Incorporated",Audio visual fit out of community hall,"Contribute funds to a $26,950 project to install audio visual equipment at the community hall to expand hall activities and enhance community involvement in multicultural activities and community events. The project will support 800 people from the West Torrens area.",Western Adelaide,"$20,000 "
"Coptic Orthodox Church South Australia, Australia Incorporated",Kitchen fit out: internal walls and ceiling,"Upgrade the kitchen facility to assist volunteers in providing meals to fifteen families who are linguistically diverse, young and disadvantaged.",Western Adelaide,"$5,000 "
Cora Barclay Centre,WHISPA Youth Engagement & Empowerment Camp 2017,"Fund a three day camp for 30 young people from across South Australia, who are deaf or hearing impaired, to develop and apply self-advocacy and collaborative problem solving, practice their leadership skills, and enhance their self-confidence.",Statewide,"$4,960 "
Cora Barclay Centre,A new approach to youth engagement & empowerment for young people with a hearing impairment,Fund an early intervention program to develop social and communication skills for 60 young people who are deaf or hearing impaired across South Australia.,Statewide,"$16,973 "
Cora Barclay Centre,Hear to Listen Aboriginal Student Services Program,Employ a coordinator to work with young Aboriginal school students with hearing loss living in remote communities.,"Eyre and Western, Limestone Coast, Murray and Mallee, Far North","$50,000 "
Cora Barclay Centre,Professional Development Program for staff of childcare centres in which a child who is deaf or hearing impaired is enrolled,"The Professional Development Program for Childcare Providers will be targeted at the childcare providers with whom the Cora Barclay Centre?s clients are placed, in order that they might embed some of these approaches into their own programs and ensure that the children can feel comfortable, participate more actively and continue to practise their listening and spoken language exercises.",Whole of metropolitan area,"$4,250 "
Council on the Ageing SA,LGBTIQ Ageing Well,"Contribute towards a 12 month older LGBTIQ 'user movement' project in SA including: consultation and recruitment through forums in metropolitan, regional and rural SA and in partnership with the Multicultural Communities Council SA; establish an ongoing structure with formal governance, terms of reference; identify priorities and create a two year work plan.",Statewide,"$36,525 "
Country Fire Service Foundation Inc,Volunteer Equipment,"Purchase IT equipment to support administration processes for 13,500 volunteers across South Australia who provide emergency service support to the community.",Statewide,"$2,050 "
Cyprus Community of SA Incorporated,Cyprus Festival 2016,"Contribute funds to a $50,000 project to deliver the 'Cyprus Festival 2016' on 8 October 2016 attracting 5,000 people from culturally and linguistically diverse communities across Adelaide to celebrate Cyprus culture and heritage and bring together Cypriot and other culturally diverse communities to encourage participation, creativity and diversity.",Whole of metropolitan area,"$16,332 "
disAbility Living Inc,ExploreAbility Camps for Young People,"Contribute to the ExploreAbility camps for 15 young people with a disability from across metropolitan Adelaide. Camps will improve participants' skills and knowledge, and enhance wellbeing and resilience.",Whole of metropolitan area,"$5,000 "
Disability Rights and Advocacy Service Inc,Diability Advocacy Visiting Service at Community Centres.,"Purchase a variety of equipment and materials to assist with the advocacy of those without the ability to self represent at various state and federal tribunals that hear and determine decisions affecting their health, welfare and financial position.","Northern Adelaide, Western Adelaide","$5,000 "
Divine Orchestra Music Ministry,Purchasing a PA System for use in our Wild Night in Australia  program,"Purchasing a PA system for use in events such as 'Wild Night in Australia', targeting 100 multicultural and disadvantaged people.",Whole of metropolitan area,"$5,000 "
Down Syndrome SA,Down Syndrome SA on the move to fulfilling more lives,"Upgrade the facility at Ridleyton to support 90 individuals with disability, and 300 family and carer members from across South Australia, to participate in essential programs that support  people with special learning needs.",Statewide,"$42,423 "
East Torrens Group Operational Support Brigade,Purchase of defibrillator to strengthen work health and safety in Adelaide Hills CFS brigades,Purchase a defibrillator to support volunteers of the Adelaide Hills CFS brigades and other people who use the East Torrens Group Operational Support Brigade base.,"Adelaide Hills, Eastern Adelaide","$2,470 "
Eastwood Community Centre,Little Library in the Eastwood Community Centre Garden,"Contribute funds to establish the 'Little Free Library' at the community garden, to develop literacy skills and economic wellbeing for 200 disadvantaged people from Eastern Adelaide.",Eastern Adelaide,"$1,932 "
Edmund Rice Camps (SA) Inc,Volunteer Development Project,"Employ a part time Volunteer Project Worker to recruit, retain and support 200 volunteers from across Adelaide, by developing their leadership and community service skills to assist young people attending camps.",Whole of metropolitan area,"$40,000 "
Elizabeth Church of Christ Incorporated,Parent Community Connections,"Contribute towards engaging extended family members and families associated with Elizabeth Downs Primary School with the ?Parent Community Connections? project. An opportunity for parents, guardians, caregivers,  to connect with each other over a weekly morning tea social gathering.",Northern Adelaide,$600 
Elizabeth South Community Centre,Building a Stronger Community,To employ a coordinator to work with volunteers to establish an op shop for disadvantaged in the northern suburbs.,Northern Adelaide,"$39,771 "
Emo Ya M'mbondo of South Australia Inc,Start up equipment for the Emo ya Mmbondo community office,Purchasing a variety of office equipment to assist with the establishment of the Emo ya Mmbondo community office.,Northern Adelaide,"$4,820 "
Encounter Centre Inc,Second hand replacement Bus for Encounter Centre,"Purchase a second hand replacement bus to transport volunteers and 100 people from Victor Harbor and Alexandrina region, who are disadvantaged, socially excluded, with disabilities, or from culturally linguistically diverse communities, to participate in programs and activities.",Fleurieu and Kangaroo Island,"$30,000 "
Eyre Futures Incorporated,Yoga and Group Therapy for PTSD following Domestic Abuse,"Fund 10 weekly yoga and group therapy sessions for eight women from Port Lincoln who have suffered domestic violence, to enhance wellbeing and resilience.",Eyre and Western,"$3,830 "
Federation of Indian Communities of South Australia,FICSA Club 60 Senior Events & Childrens Day 2016,"Contribute funds to an $8,000 bi-monthly activity for 1800 Indian speaking people from across Adelaide to participate in social, cultural and health related activities to reduce social isolation.",Whole of metropolitan area,"$4,800 "
Filipino Settlement Coordinating Council of SA. Incorporated,Philippine Independence Day Community Celebration,Bringing together 300 Filipino migrants who have resettled in SA who require additional social and cultural support to attend the Philippine Independence Day Community Celebration.,Statewide,"$5,000 "
Foodbank SA,Foodbank SA Volunteer Event Equipment Upgrade,Purchasing a marquee to assist with the increased number of outdoor community events the organisation and it's volunteers attends.,Statewide,"$1,899 "
